athlete_id,min_mean,min_sd,min_median,n_recent
1966,32.93333333333333,2.9632671801497046,34,15
2779,14.2,4.7086546455891805,14,15
3012,8.875,4.969550137731641,9.5,8
3195,16.6,5.487648468541487,16,15
3202,36.4,3.5816995167896803,37,15
3209,5.8,3.8209946349085597,5,15
3213,25.533333333333335,3.159264531651692,26,15
3416,15.533333333333333,6.356848575318104,16,15
3431,12.333333333333334,6.501281924871945,12,6
3442,16.25,7.324128422062051,13,8
3448,27.8,5.990468619875601,26,15
3449,17.066666666666666,5.861090423494672,16,15
3468,26.6,5.973752111170524,26,15
3975,30.466666666666665,3.6423435679060625,32,15
3978,26.2,5.595916878786327,27,15
3992,33.13333333333333,3.0441200151549,34,15
3995,29.533333333333335,3.907258203224694,29,15
4023,2.7857142857142856,2,2,14
4251,33.06666666666667,2.9390636669006063,33,15
6427,5,3.872983346207417,4,15
6430,31.066666666666666,4.542917040635371,32,15
6440,30.533333333333335,4.389381125701739,31,15
6450,31.2,3.4887574537976374,31,15
6475,21.266666666666666,4.620863658709371,20,15
6477,12.333333333333334,4.3369947901195145,12,15
6478,23.2,7.645727098003359,23,15
6578,22.733333333333334,5.560918046852473,21,15
6580,20.2,2,20,5
6583,31.666666666666668,7.0373155054899685,34,15
6585,18.133333333333333,9.022722638401548,20,15
6589,26.733333333333334,5.020908663730482,24,15
6609,24.666666666666668,5.802298395176404,25,15
2326307,16,2.8284271247461903,16,2
2488653,8.857142857142858,6.467161342055401,6.5,14
2489663,8.733333333333333,4.511361319200774,8,15
2490149,28.866666666666667,2.8751811537130436,29,15
2528210,27.6,6.056873309366335,28,15
2528426,13.066666666666666,7.741047056038965,13,15
2528588,9.23076923076923,5.525001450284066,8,13
2530530,16,2,16,15
2531367,12.6,8.854377448471462,11,15
2578185,18.2,4.616739727804212,17,15
2578239,7.133333333333334,5.591660457025862,6,15
2580365,10.8,4.246006527146588,10,15
2581018,20.466666666666665,5.0123656614227095,21,15
2581184,22.866666666666667,9.568300839353922,27,15
2583632,28.466666666666665,6.988425805436817,27,15
2595516,28.133333333333333,5.950590206821825,30,15
2596112,15.2,3.8396428405331067,16,15
2960236,11.066666666666666,8.556256413264146,11,15
2968436,5.266666666666667,2,5,15
2990962,20.857142857142858,5.367450401216932,21,7
2990984,16,8.07995756707387,17,15
2990992,27.8,4.178174584330202,29,15
2991043,18.533333333333335,2.4162150645369374,18,15
2991070,31.133333333333333,4.120795115138871,32,15
2991139,29.066666666666666,4.772939595359697,29,15
2991235,23.933333333333334,5.612061839933528,25,15
2991350,18.533333333333335,6.334335760267964,20,15
2993874,20,4.342481186734475,19,15
2999547,12.466666666666667,6.277700519260521,13,15
3032976,31.333333333333332,4.6084807950229365,33,15
3032977,28.8,3.363671463488329,30,15
3032978,8.25,6.020797289396148,7,4
3032979,24.4,6.196773353931868,23,15
3037789,21.733333333333334,8.564600454917962,21,15
3059310,10.666666666666666,6.562519841239847,11,6
3059318,33.666666666666664,5.340768626687503,33,15
3059319,29.6,4.896062557957014,29,15
3059409,6.533333333333333,4.867775477077604,4,15
3062679,28.6,4.98282765391012,27,15
3064230,13.375,6.232117273791125,12,8
3064290,26.4,8.617258430448913,30,15
3064440,28.933333333333334,6.215954893505521,29,15
3064482,25,7.010196655077313,24,15
3064514,33.53333333333333,3.8705235280194827,33,15
3064560,15.066666666666666,4.6208636587093705,15,15
3078576,34.53333333333333,3.5830287799702694,34,15
3102529,13.2,3.6683978597124463,13,15
3102530,29.333333333333332,3.9400265892262105,31,15
3102531,23.533333333333335,5.0123656614227095,23,15
3102533,3.2,2,3,15
3112335,35.2,4.783901575671711,34,15
3133602,20.6,5.2888021868310195,20,15
3133603,33.333333333333336,4.270608298368657,34,15
3133626,16.266666666666666,8.48920883632077,18,15
3133628,26.133333333333333,5.604420024366822,25,15
3133635,15.266666666666667,11.460906637451549,19,15
3134903,16.133333333333333,5.303188618539748,16,15
3134907,27.066666666666666,5.311263861786929,27,15
3134908,25,6.6332495807108,26,15
3134916,6.2,4.616739727804212,4,15
3134932,22.666666666666668,5.7652489311473145,22,15
3135045,31.266666666666666,3.8259763770958184,33,15
3135046,14.2,5.918494016941424,12,15
3136193,31.533333333333335,7.288608202106183,32,15
3136195,29.866666666666667,2.503331114069145,29,15
3136776,17.533333333333335,7.414914185676889,15,15
3136777,9.266666666666667,5.2977982848223535,8,15
3137259,15.866666666666667,4.808722234004531,16,15
3138160,22.066666666666666,7.225615808325531,23,15
3138161,13.75,10.21028892833107,11,4
3138196,31.266666666666666,6.374801584213836,29,15
3146557,21.8,5.42744349184244,19,15
3147657,31.933333333333334,6.9638522453623395,30,15
3149673,32.86666666666667,3.542933946940156,33,15
3150844,12.933333333333334,3.9182114481458186,13,15
3155526,30.2,7.475674838147676,33,15
3155535,13.533333333333333,5.792441709018827,14,15
3155942,28.666666666666668,6.789347398332045,28,15
3157465,26.466666666666665,4.3237990350197935,25,15
3899664,16.666666666666668,8.33809387832792,18,15
3906665,10.5,9.192388155425117,10.5,2
3907497,26.2,3.03315017762062,26,5
3907498,12.181818181818182,2.8572077914699108,12,11
3907823,23.133333333333333,5.069047059876056,24,15
3908809,32,4.375255094603872,34,15
3908845,28.4,5.0539941771689,29,15
3912848,21.733333333333334,5.750362307426087,22,15
3913174,22.266666666666666,4.008324670815311,22,15
3913176,33.86666666666667,2.9728934118288266,35,15
3913180,14,7.211102550927978,13,14
3914044,25.8,5.595916878786328,24,15
3914285,10.466666666666667,5.680375574437544,10,15
3917376,33.666666666666664,3.199702367110922,34,15
3922230,11.533333333333333,7.199867723652654,10,15
3934672,35.53333333333333,4.688384837121669,36,15
3934673,29.066666666666666,4.47958331395529,30,15
3934719,33.733333333333334,5.364788195348664,34,15
3934723,13.733333333333333,5.53516894395241,16,15
3936099,28.733333333333334,4.757950739351474,28,15
3936296,12.666666666666666,12.503332889007368,7,3
3936299,33.4,10.196638101424831,35,15
3945274,33.13333333333333,6.277700519260521,33,15
3948153,9.75,4.6827952580239325,11,8
4017837,28.866666666666667,5.276181880687514,30,15
4017844,21.866666666666667,10.176069032410352,24,15
4065648,27,NA,27,1
4065654,10.6,4.954074801903696,13,15
4065663,16.666666666666668,6.831300510639732,15,15
4065670,27.4,4.672105673951674,28,15
4065673,10.733333333333333,5.993647430722759,11,15
4065731,25.2,5.671986298593163,25,15
4065732,22.933333333333334,4.333699618219101,23,15
4065733,21.333333333333332,2,21,9
4065804,27.2,3.255764119219941,27,15
4066211,18.133333333333333,3.563037762252611,19,15
4066218,21,5.0990195135927845,20,15
4066259,28.133333333333333,4.955035918374453,30,15
4066261,32,5.196152422706632,35,15
4066262,21.933333333333334,5.035114790387698,20,15
4066268,8.933333333333334,5.161210636865661,11,15
4066317,6.266666666666667,4.697517074654084,5,15
4066320,34.666666666666664,4.546060565661952,36,15
4066328,28.333333333333332,4.369809846576633,29,15
4066336,32.46666666666667,7.059610133576445,32,15
4066354,31.733333333333334,4.008324670815311,33,15
4066372,17.466666666666665,8.806382966484081,17,15
4066383,28.666666666666668,5.313952882562588,31,15
4066387,14.666666666666666,7.970182527634454,17,15
4066399,22.2,5.4142668676641454,24,15
4066421,16.6,6.3897238929840645,15,15
4066436,25,2.1712405933672376,25,15
4066457,29.133333333333333,6.334335760267964,29,15
4066648,26.466666666666665,5.303188618539748,26,15
4066650,18.4,3.2386554137309647,19,10
4066757,25.8,4.723799923185329,25,15
4066993,16.266666666666666,6.943307843493892,19,15
4067017,8.384615384615385,5.530799543442484,7,13
4222252,22.733333333333334,3.1274514194392182,24,15
4277811,23.066666666666666,8.531175322366337,20,15
4277813,30.333333333333332,4.760952285695233,31,15
4277843,12.2,9.555850862915648,7,15
4277847,28.066666666666666,5.2977982848223535,27,15
4277848,21.133333333333333,4.257206774847743,20,15
4277869,19,5.140872632984737,18,15
4277905,26.4,8.656404180335697,30.5,10
4277919,11,9.41629792788369,10.5,4
4277922,24.066666666666666,7.22561580832553,24,15
4277951,12.6,8.633820541501725,13,15
4277956,20.6,7.433514838697968,20,15
4277957,8.933333333333334,4.415341220702891,9,15
4277961,30.4,3.775863193647627,32,15
4277964,6.066666666666666,7.2748752239340515,5,15
4278039,33.53333333333333,3.7959878568725434,34,15
4278049,23.133333333333333,4.437931736207543,22,15
4278053,25.8,3.2115861679683633,26,15
4278067,27.2,4.3127717305695645,28,15
4278073,33.46666666666667,2.065591117977289,34,15
4278076,18.666666666666664,8.34665601703261,21,15
4278077,14.866666666666667,5.527420822805239,16,15
4278078,29.933333333333334,4.832430129073876,30,15
4278104,31.133333333333333,5.289702485107492,32,15
4278129,23.666666666666668,6.914443130833011,25,15
4278355,17.571428571428573,11.616900660347447,11,7
4278402,23.933333333333334,3.750555514409388,24,15
4278516,15.2,12.030912564841337,12,15
4278562,15.799999999999999,8.703037236669573,14,15
4278572,7.2,4.554432691659538,5,15
4278580,22.133333333333333,6.022181221672648,23,15
4278585,30.2,5.280692595267622,31,15
4278594,31.466666666666665,5.730453318725774,32,15
4279118,6.133333333333334,6.162868843400156,4,15
4279318,21.8,8.554029960868068,24,15
4279532,3,2,3,2
4279888,28.466666666666665,7.462924232178569,31,15
4280151,22.8,5.280692595267622,23,15
4280245,16.133333333333333,6.843836295389834,18,15
4348700,14.066666666666666,6.702522623893896,12,15
4351851,26.8,6.096837587752241,26,15
4351852,19.266666666666666,4.14843630896315,19,15
4395620,9.133333333333333,8.052210580834013,6,15
4395623,5.888888888888889,5.060742150229659,4,9
4395625,28.933333333333334,4.712698145385912,30,15
4395626,25.933333333333334,2.685055643655045,26,15
4395628,30.666666666666668,5.99603043290984,33,15
4395630,28.8,4.443293501768384,28,15
4395650,33.333333333333336,4.932882862316248,31,3
4395651,26.8,6.460871237136454,30,15
4395676,4,3.1622776601683795,3.5,4
4395702,25.533333333333335,5.9625817354884925,24,15
4395712,30.666666666666668,4.561745697594706,31,15
4395723,21.133333333333333,4.2403953095144775,21,15
4395724,32.46666666666667,2.4162150645369382,33,15
4395725,30.533333333333335,4.611579628139003,31,15
4396818,23.8,4.98855833740714,24,15
4396907,29.733333333333334,4.558612988722818,30,15
4396909,29,6.3358391032961965,31,15
4396963,19.333333333333332,3.559026084010437,18.5,6
4396971,25.933333333333334,3.2616093018777153,26,15
4397002,27.533333333333335,3.7581657126595047,28,15
4397014,25.2,4.126568965687043,27,15
4397018,12.466666666666667,7.88186586563166,14,15
4397020,28.933333333333334,3.692979181920098,28,15
4397040,22.666666666666668,5.219012860502954,24,15
4397071,11.75,7.088723439378913,13,4
4397077,17.733333333333334,7.333549780355512,15,15
4397136,33.13333333333333,3.5830287799702694,34,15
4397140,31.866666666666667,4.405624111238249,32,15
4397179,13.866666666666667,6.631813656983463,15,15
4397183,23,8.332380897952964,22,15
4397189,25.866666666666667,6.801960501698511,25,15
4397227,18.266666666666666,5.812138365606274,20,15
4397233,13.8,8.24794346662072,15,15
4397251,11.733333333333333,9.735550954155208,7,15
4397424,24.666666666666668,6.6404245417923455,26,15
4397449,13.928571428571429,8.389226476804694,12,14
4397450,3,NA,3,1
4397475,30.4,5.448459808580246,30,15
4397688,35.06666666666667,4.113855797644045,36,15
4397689,10.833333333333334,5.564770136013406,9.5,6
4397821,18.333333333333332,3.5118845842842465,18,3
4397882,12.428571428571429,8.772250620700536,15,7
4397885,5,2,5,5
4397886,11.666666666666666,5.773502691896257,15,3
4398390,17.533333333333335,9.76046446982246,15,15
4411057,8.266666666666667,7.420691791650336,5,15
4431671,32.13333333333333,5.1390197323540034,33,15
4431675,17.466666666666665,7.698484699385111,16,15
4431678,35.6,4.171330722922843,36,15
4431679,24.93333333333333,10.898667458958109,27,15
4431680,29.666666666666668,3.415650255319866,29,15
4431684,6.666666666666666,5.524835701069266,4,15
4431687,22.733333333333334,7.41105994604075,25,15
4431690,11.6,10.3150375665821,8,15
4431695,10.8,8.686607096970766,10,15
4431714,13.4,7.356241276241944,13,15
4431734,6,2.581988897471611,6,4
4431736,33.4,4.322697570466188,34,15
4431752,18.266666666666666,11.297703095678132,19,15
4431767,33.8,6.155137227204142,32,15
4431772,12.6,8.166132149660223,10,15
4431778,14.2,6.338093449250222,14,15
4431785,21,2,21,9
4431786,4.8,4.491261356392942,3,15
4431823,29.4,6.16209611832115,30,15
4431893,8.466666666666667,4.2403953095144775,8,15
4431941,11.733333333333333,10.606377237079496,6,15
4432107,9.8,6.460871237136455,7,15
4432117,14.333333333333334,8.962886439832502,19,3
4432158,31.466666666666665,5.316640543300504,34,15
4432165,27.4,5.7046347072233425,27,15
4432166,34.6,5.193402408000807,37,15
4432170,10.333333333333334,7.451430032135412,7,15
4432171,28.866666666666667,5.152900246694181,28,15
4432173,20.133333333333333,7.199867723652654,20,15
4432174,19.666666666666668,4.203173404306164,20,15
4432179,18,2.8284271247461903,18,2
4432181,23.6,5.692099788303082,25,15
4432185,11.199999999999998,7.957027442097061,12,15
4432190,5,2.699206232527312,5,15
4432194,20.333333333333332,5.354126134736337,19,15
4432241,21.533333333333335,2.133630931623591,22,15
4432247,10.8,5.966573556070519,9,15
4432446,11.133333333333333,8.475735675331979,10,15
4432573,36.46666666666667,4.155317877932645,37,15
4432582,30.533333333333335,2.9968237153613795,30,15
4432639,34.93333333333333,3.8631346758570975,33,15
4432645,2,NA,2,1
4432808,14.75,3.774917217635375,13.5,4
4432809,11.733333333333333,7.343283293174078,14,15
4432810,22.666666666666668,4.320493798938573,23,15
4432811,17.866666666666667,4.793845260430543,19,15
4432813,15,8.088792952509753,14,15
4432816,28.533333333333335,3.4819261226811697,29,15
4432817,4.666666666666667,2.943920288775949,4,15
4432819,10.866666666666667,5.962581735488492,12,15
4432821,4.9,2.4244128727957577,4.5,10
4432822,31.866666666666667,4.501851470969102,32,15
4432823,22.6,8.024961059095553,18,15
4432827,10.75,4.652188425123938,10,8
4432847,9.6,6.987744373442078,8,15
4432848,27.866666666666667,4.549201918494946,28,15
4432872,6.6,2,7,5
4432887,4.25,2.712405363721075,4,8
4432907,21.6,5.342551557341974,22,15
4433076,21.866666666666667,5.998412488396608,22,15
4433083,23.866666666666667,2.199567056967175,24,15
4433133,5.222222222222222,3.3082388735465345,6,9
4433134,33.266666666666666,2.404361117002265,33,15
4433136,31.5,2.6457513110645907,31,4
4433137,23.4,5.65432830417801,24,15
4433144,25.333333333333332,7.197883286739498,27,15
4433149,7,8.679477710861024,3,4
4433159,11.333333333333332,8.566268287939177,9,15
4433174,24.4,4.702582876918354,25,15
4433188,18.133333333333333,10.315499203117794,21,15
4433192,31,4.375255094603872,33,15
4433218,20.266666666666666,6.605913656572817,18,15
4433225,10.266666666666667,7.0959411604367855,10,15
4433246,8.285714285714286,6.210590034081188,6,7
4433247,21,7.338742593737898,21,15
4433249,29,4.644505202002531,31,15
4433255,29.733333333333334,4.283967898150143,30,15
4433268,8.4,8.142481194328912,5,5
4433281,3.5714285714285716,3.552329886011098,1,7
4433287,29.933333333333334,5.909637004403021,33,15
4433378,7,NA,7,1
4433569,5,4.8373546489791295,5,11
4433607,10.666666666666668,8.549575316659775,8,15
4433618,3.25,2,3,4
4433621,26.933333333333334,7.657551517168868,29,15
4433622,5.666666666666666,7.234178138070235,2,3
4433623,4.416666666666667,5.017393987344667,2.5,12
4433627,30.8,6.710333183126709,33,15
4433629,14.533333333333333,6.512259501088989,14,15
4437244,22.4,9.02219485491197,23,15
4565201,11.466666666666667,9.014802641581603,8,15
4566434,28.933333333333334,8.916010211705576,30,15
4576060,18.733333333333334,6.5188371735485235,17,15
4576085,7.933333333333334,7.391758602531284,5,15
4576086,22.533333333333335,6.906173911453295,24,15
4576087,35.733333333333334,3.1274514194392182,37,15
4578893,21.6,4.641428351580701,21,15
4585618,16,11.789826122551595,13,3
4590360,6.5,2.1213203435596424,6.5,2
4591259,4.8,2.280350850198276,4,5
4591725,33.8,4.229150539495406,35,15
4592187,11,5.385164807134504,10,5
4592216,25,10.98483803552272,28.5,4
4592401,4,3.559026084010437,3,4
4592427,23.6,11.261819188238258,28,15
4592435,10.933333333333334,6.649024274998837,11,15
4592461,3.4,2.6076809620810595,3,5
4592479,25.466666666666665,5.514483095406478,27,15
4592492,16.666666666666668,5.652643713553946,15,15
4592686,7.444444444444445,5.317685377847939,5,9
4592691,20.733333333333334,5.650115885874334,22,15
4592699,4,2,4,2
4592714,24,9,27,15
4592829,19.2,8.187097863624901,20,15
4592857,6.125,6.577830732305077,2.5,8
4593016,15.4,6.7379522111692065,16,15
4593041,6,NA,6,1
4593043,3.6666666666666665,2,4,3
4593049,6.25,4.9916597106239795,5,4
4593125,29,4.375255094603872,30,15
4593803,28.533333333333335,6.8124535821922345,29,15
4593841,25.2,5.334523676687812,25,15
4594268,36.733333333333334,2.1201976547572383,37,15
4594326,24.466666666666665,8.408046033130294,27,15
4594327,32.86666666666667,9.440540743188894,34,15
4595400,23.666666666666668,4.937707198786941,24,15
4596528,25,9.899494936611665,25,2
4597259,4.666666666666667,3.199702367110922,4,15
4597865,1.6,2,1,5
4600663,25.818181818181817,7.547425810409558,26,11
4601023,23.666666666666668,6.125668087956572,23,15
4601025,29.666666666666668,6.955641766289605,32,15
4602025,19.2,4.5229573132125465,19,15
4606840,24.6,8.716159049227393,23,15
4610139,5.666666666666667,3.579039509354962,4,15
4683021,29.666666666666664,9.788233947425029,31,15
4683024,12.666666666666666,5.278888771954441,11,6
4683634,28.4,4.7629522657396315,30,15
4683678,22.916666666666668,3.5537005893558162,22,12
4683686,12,8.750510189207745,10,15
4683688,17.5,3.0166206257996713,18,6
4683689,14.933333333333334,5.548058433447901,15,15
4683692,30.6,3.541589635016618,30,15
4683736,8.8,8.66410218468519,4,10
4683742,33,5,33,3
4683747,27.133333333333333,6.5232186037554305,27,15
4683749,7.142857142857143,3.2877840272018797,8,7
4683750,10.4,7.0183433128583035,11,15
4683766,31.466666666666665,7.790714864198156,30,15
4683771,18.666666666666668,4.700557211144025,17,15
4683774,5.6,5.779273310719955,5,15
4683778,18.2,6.04979338490167,17,15
4683834,14.333333333333334,8.812869377601523,13,15
4683934,18.333333333333336,9.46924847422786,22,15
4683935,13.466666666666667,5.962581735488492,13,15
4684208,7.666666666666666,6.768273325562718,5,15
4684272,21.733333333333334,5.270763927643922,20,15
4684275,15.533333333333333,9.303353210127032,21,15
4684740,36.2,5.101820403402242,37,15
4684742,25.533333333333335,8.122866020128141,25,15
4684793,23.666666666666668,8.414839499926533,28,15
4684806,20.4,6.456447497325002,24,15
4687718,9.333333333333334,6.672616392676079,7,15
4696317,9.642857142857142,8.625607161301684,9,14
4697268,21.733333333333334,12.634797000272512,25,15
4700818,4,4.242640687119285,4,2
4700852,9.2,7.902983161891645,5,15
4701208,15.4,6.276941930590086,15,15
4701225,13.200000000000001,6.224376044460774,15,15
4701230,34.13333333333333,8.253714892326334,36,15
4701232,22.8,5.307676381565532,23,15
4701233,18.866666666666667,7.2394422305536645,18,15
4701845,22,13.892443989449804,29,3
4701992,2,2,2,2
4702134,4,2,4,2
4702159,4.8,3.1937438845342623,4,5
4702177,22.4,4.38829612231705,21,15
4702352,21,7.435436388384631,22,15
4702382,26.133333333333333,7.376281163941881,26,15
4702384,33,6.047431568147635,33,15
4702656,7,8.057485769337537,4,14
4702670,8.75,8.301606270274847,6.5,4
4702745,7.733333333333333,6.787242935586338,5,15
4702785,4.25,2,3.5,8
4702972,4.333333333333333,2.422120283277993,4,6
4703421,13.199999999999998,13.903750778631128,5,15
4703530,4.333333333333333,2,4,6
4706557,5.733333333333333,4.636295729916082,5,15
4709138,30.4,6.6526042161805226,31,15
4711272,29.066666666666666,6.808258290662962,30,15
4711294,30,4.884377427793931,31,15
4711297,12.533333333333333,8.830682441405783,12,15
4712849,32.4,6.389723892984064,31,15
4712863,15.466666666666667,6.978197338513586,14,15
4712896,27.4,6.162096118321149,27,15
4713010,6.6,5.834761729877617,5,10
4781746,23.066666666666666,5.873264687994071,22,15
4845363,9.933333333333334,5.71297604039219,9,15
4845367,26.466666666666665,6.457184997755453,26,15
4845374,24.466666666666665,4.389381125701739,23,15
4868423,18.266666666666666,7.4590948001815365,18,15
4869342,30.6,4.610546915187271,31,15
4869780,23.533333333333335,5.8659631612825365,22,15
4870562,25.133333333333333,5.780097214539199,26,15
4871141,8.666666666666668,7.668736780560656,6,15
4871144,32.86666666666667,3.602908877692077,32,15
4871145,27.333333333333332,4.835385442852759,27,15
4873138,32.333333333333336,4.117326918327103,31,15
4873201,11.066666666666666,6.134989424448524,10,15
4888725,18.8,6.515914583321581,18,15
4895758,25.8,9.382354258317655,25,15
4896372,21.666666666666668,6.6404245417923455,22,15
4897262,19.6,7.716401826165946,20,15
4897449,7.222222222222222,5.214829282387338,6,9
4897943,5.4,4.484895284651105,4,15
4898238,14,NA,14,1
4898369,5,3.22490309931942,5,6
4898371,29.933333333333334,5.560918046852473,28,15
4900671,26.2,4.632185537858222,25,15
4903027,25.133333333333333,4.290632099064636,27,15
4906923,6.6,4.550946177566937,5.5,10
4914336,31.2,5.347896782848376,33,15
4997526,17.266666666666666,10.109872591161762,19,15
4997528,13.8,6.635402883666631,17,15
4997536,29.733333333333334,5.548058433447902,28,15
4997537,13.6,7.490946917065006,17,15
4997538,17.4,5.500649312321488,16,15
4997539,8.75,4.287932326467343,9,12
5023693,9.666666666666666,5.205308645530838,10,15
5037871,23.866666666666667,3.8520248231411016,23,15
5037873,18.733333333333334,6.702522623893896,20,15
5041939,31.933333333333334,6.681174689984931,34,15
5044385,10.266666666666667,8.762474101585259,6,15
5060631,6.266666666666667,5.161210636865661,4,15
5061568,14.8,7.103319143692113,16,15
5061575,31.933333333333334,3.65409098851971,32,15
5061589,19.266666666666666,7.333549780355512,20,15
5081727,20.666666666666668,7.508725083591247,19,15
5091709,6.533333333333333,5.667787004096883,4,15
5093267,27.733333333333334,8.713426967835877,29,15
5099752,18.866666666666667,8.416537009845273,19,15
5104155,25.266666666666666,5.3246953858771064,24,15
5104157,29.466666666666665,4.838338951491908,28,15
5105550,26.066666666666666,3.5550098787619757,26,15
5105553,7.533333333333333,6.3230492945217796,4,15
5105565,26.933333333333334,6.181385266226642,27,15
5105592,16.933333333333334,7.045430805713391,17,15
5105623,20.666666666666668,8.812869377601523,19,15
5105637,17.933333333333334,4.574255078568479,16,15
5105806,12.4,5.852960179015645,14,15
5105839,25.266666666666666,4.905778905196061,24,15
5105977,11.6,7.238784428341544,12,15
5106060,28.933333333333334,3.594970031002974,30,15
5106258,12.733333333333333,6.474859807270698,13,15
5106268,16.333333333333336,7.69662882293899,16,15
5107173,21.933333333333334,4.527166674117278,22,15
5107199,17.266666666666666,3.5750457872525754,18,15
5107818,4.5,6.3508529610858835,1.5,4
5107897,7.333333333333333,7.087883692477977,4,15
5108024,13.266666666666667,7.573135476959392,13,15
5112087,25.933333333333334,2.658320271650251,26,15
5124612,33.8,5.659379067404076,35,15
5144091,24.266666666666666,5.799835794063073,25,15
5144126,27.8,9.879271228182775,29,15
5157066,21.8,6.731588647138633,22,15
5157587,4,NA,4,1
5159895,14.5,10.094552986635911,11.5,6
5159925,10.6,3.847076812334269,11,5
5160992,27.866666666666667,6.446113631668383,28,15
5165257,2.5,2.1213203435596424,2.5,2
5170947,13,9.96422170998389,11,15
5174563,24,6.90755280213519,22,15
5175643,26.6,4.5166359162544865,28,15
5175647,16.533333333333335,6.621034302742681,15,15
5177362,3.5,2.1213203435596424,3.5,2
5203685,6.933333333333334,5.58654847016687,5,15
5211175,23.6,3.7378374190738377,23,15
5211176,14.266666666666667,6.385996584790221,15,15
5211983,4.333333333333333,2.943920288775949,3,15
5214637,13,6.129553700835696,14,15
5214640,19.533333333333335,6.334335760267964,19,15
5217746,5.8,3.3848401523768974,5,15
5238230,23.2,7.073087828421999,20,15
5239561,10.466666666666667,7.0898989179442236,10,15
5239590,11.8,6.720969317846093,12,15
5242496,3,2,3,2
5242502,18,3.779644730092272,18,15
5279130,28,5.277986629117476,28,15
5279133,7.6,6.162096118321149,5,15
5289900,14.2,7.173363427092124,14,15
